Evaluation,Model,Parameter,Accuracy
1,ANN,"neuron1=100, layers=8, use_transfer_learning=True, use_svm=True, neuron2=100, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"neuron1=100, layers=8, use_transfer_learning=True, use_svm=False, neuron2=100, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, neuron1=100, layers=3, use_transfer_learning=True, use_svm=True, neuron2=200, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, neuron1=100, layers=3, use_transfer_learning=True, use_svm=False, neuron2=200, model=3",0.6451612771038086
1,ANN,"neuron1=100, layers=3, use_transfer_learning=True, use_svm=True, neuron2=200, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"neuron1=100, layers=3, use_transfer_learning=True, use_svm=False, neuron2=200, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, neuron1=100, use_transfer_learning=True, use_svm=True, layers=6, neuron2=200, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, neuron1=100, use_transfer_learning=True, layers=6, use_svm=False, neuron2=200, model=3",0.6451612771038086
1,ANN,"neuron1=100, use_transfer_learning=True, use_svm=True, layers=6, neuron2=200, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"neuron1=100, use_transfer_learning=True, layers=6, use_svm=False, neuron2=200, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, neuron1=100, layers=8, use_transfer_learning=True, use_svm=True, neuron2=200, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, neuron1=100, layers=8, use_transfer_learning=True, use_svm=False, neuron2=200, model=3",0.6451612771038086
1,ANN,"neuron1=100, layers=8, use_transfer_learning=True, use_svm=True, neuron2=200, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"neuron1=100, layers=8, use_transfer_learning=True, use_svm=False, neuron2=200, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, neuron1=128, layers=3, use_transfer_learning=True, use_svm=True, neuron2=100, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, neuron1=128, layers=3, use_transfer_learning=True, use_svm=False, neuron2=100, model=3",0.6451612771038086
1,ANN,"neuron1=128, layers=3, use_transfer_learning=True, use_svm=True, neuron2=100, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"neuron1=128, layers=3, use_transfer_learning=True, use_svm=False, neuron2=100, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, neuron1=128, use_transfer_learning=True, use_svm=True, layers=6, neuron2=100, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, neuron1=128, use_transfer_learning=True, layers=6, use_svm=False, neuron2=100, model=3",0.6451612771038086
1,ANN,"neuron1=128, use_transfer_learning=True, use_svm=True, layers=6, neuron2=100, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"neuron1=128, use_transfer_learning=True, layers=6, use_svm=False, neuron2=100, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, layers=8, neuron1=128, use_transfer_learning=True, use_svm=True, neuron2=100, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, layers=8, neuron1=128, use_transfer_learning=True, use_svm=False, neuron2=100, model=3",0.6451612771038086
1,ANN,"layers=8, neuron1=128, use_transfer_learning=True, use_svm=True, neuron2=100, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"layers=8, neuron1=128, use_transfer_learning=True, use_svm=False, neuron2=100, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, neuron1=128, layers=3, use_transfer_learning=True, use_svm=True, neuron2=200, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, neuron1=128, layers=3, use_transfer_learning=True, use_svm=False, neuron2=200, model=3",0.6451612771038086
1,ANN,"neuron1=128, layers=3, use_transfer_learning=True, use_svm=True, neuron2=200, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"neuron1=128, layers=3, use_transfer_learning=True, use_svm=False, neuron2=200, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, neuron1=128, use_transfer_learning=True, use_svm=True, layers=6, neuron2=200, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, neuron1=128, use_transfer_learning=True, layers=6, use_svm=False, neuron2=200, model=3",0.6451612771038086
1,ANN,"neuron1=128, use_transfer_learning=True, use_svm=True, layers=6, neuron2=200, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"neuron1=128, use_transfer_learning=True, layers=6, use_svm=False, neuron2=200, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, layers=8, neuron1=128, use_transfer_learning=True, use_svm=True, neuron2=200, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, layers=8, neuron1=128, use_transfer_learning=True, use_svm=False, neuron2=200, model=3",0.6451612771038086
1,ANN,"layers=8, neuron1=128, use_transfer_learning=True, use_svm=True, neuron2=200, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"layers=8, neuron1=128, use_transfer_learning=True, use_svm=False, neuron2=200, learning_rate=clr, model=3",0.6451612771038086
1,ANN,"learning_rate=decrease, layers=3, use_transfer_learning=True, use_svm=True, neuron2=100, model=3, neuron1=300",0.6451612771038086
1,ANN,"learning_rate=decrease, layers=3, use_transfer_learning=True, use_svm=False, neuron2=100, model=3, neuron1=300",0.6451612771038086
1,ANN,"layers=3, use_transfer_learning=True, use_svm=True, neuron2=100, learning_rate=clr, model=3, neuron1=300",0.6451612771038086
1,ANN,"layers=3, use_transfer_learning=True, use_svm=False, neuron2=100, learning_rate=clr, model=3, neuron1=300",0.6451612771038086
1,ANN,"learning_rate=decrease, use_transfer_learning=True, use_svm=True, layers=6, neuron2=100, model=3, neuron1=300",0.6451612771038086
1,ANN,"learning_rate=decrease, use_transfer_learning=True, layers=6, use_svm=False, neuron2=100, model=3, neuron1=300",0.6451612771038086
1,ANN,"use_transfer_learning=True, use_svm=True, layers=6, neuron2=100, learning_rate=clr, model=3, neuron1=300",0.6451612771038086
1,ANN,"use_transfer_learning=True, layers=6, use_svm=False, neuron2=100, learning_rate=clr, model=3, neuron1=300",0.6451612771038086
1,ANN,"learning_rate=decrease, layers=8, use_transfer_learning=True, use_svm=True, neuron2=100, model=3, neuron1=300",0.6451612771038086
1,ANN,"learning_rate=decrease, layers=8, use_transfer_learning=True, use_svm=False, neuron2=100, model=3, neuron1=300",0.6451612771038086
1,ANN,"layers=8, use_transfer_learning=True, use_svm=True, neuron2=100, learning_rate=clr, model=3, neuron1=300",0.6451612771038086
1,ANN,"layers=8, use_transfer_learning=True, use_svm=False, neuron2=100, learning_rate=clr, model=3, neuron1=300",0.6451612771038086
1,ANN,"learning_rate=decrease, layers=3, use_transfer_learning=True, use_svm=True, neuron2=200, model=3, neuron1=300",0.6451612771038086
1,ANN,"learning_rate=decrease, layers=3, use_transfer_learning=True, use_svm=False, neuron2=200, model=3, neuron1=300",0.6451612771038086
1,ANN,"layers=3, use_transfer_learning=True, use_svm=True, neuron2=200, learning_rate=clr, model=3, neuron1=300",0.6451612771038086
1,ANN,"layers=3, use_transfer_learning=True, use_svm=False, neuron2=200, learning_rate=clr, model=3, neuron1=300",0.6451612771038086
